parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.56935216798694,0.627585487771595,0.710772648297899,0.795595474181281,0.848407500330324
b_scaletotal_load,0.95,0.8,median,-0.0964203153660667,-0.0728655750478332,-0.0282619842888782,0.0152539297900615,0.0367804394480739
b_age_catyearling,0.95,0.8,median,-1.85652940414209,-1.82462112376307,-1.76747946096117,-1.7151122282855,-1.68494401039187
sd_site__Intercept,0.95,0.8,median,0.00238975142557997,0.0097376923485628,0.0521602986290449,0.16408933864945,0.289397100678789
sd_site:id__Intercept,0.95,0.8,median,0.319408305713215,0.337472165295247,0.375021564032321,0.41374151296297,0.437242876121822
sd_year__Intercept,0.95,0.8,median,0.034667816531056,0.0551955418808885,0.0997406683629801,0.171236945321419,0.22616268869476
sigma,0.95,0.8,median,0.32473585009776,0.334309483967079,0.354685004386248,0.377791920330557,0.388218341890931
r_site[KUM,Intercept],0.95,0.8,median,-0.136678333217014,-0.0714460482719801,-0.0024112751575447,0.0491912476993591,0.106867988185856
r_site[LEH,Intercept],0.95,0.8,median,-0.165928836696461,-0.0915626606067349,-0.00492658416145743,0.0458902049947867,0.105715606854306
r_site[NYR,Intercept],0.95,0.8,median,-0.177269508061282,-0.0996369827014682,-0.0110272361425331,0.0376450602177935,0.0895592130631646
r_site[SAA,Intercept],0.95,0.8,median,-0.120361384450694,-0.0465611241412044,0.00604554002785113,0.0885656085810518,0.182741599125722
r_site[TEE,Intercept],0.95,0.8,median,-0.0746141428767062,-0.0239360421187701,0.0192061072083977,0.139619363486047,0.231602926196579
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.37560034443239,-0.247977914040306,-0.0130951988175017,0.225083809307863,0.348630298203835
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.0796890518666013,0.0434936983783051,0.286368119026636,0.515408072842691,0.630884991940626
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,0.212211768804347,0.35138041540019,0.59837559547944,0.830415513241473,0.952669273316364
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.93570184341923,-0.816420067402878,-0.597811026180007,-0.357012112108855,-0.232172063645259
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-0.470923738703277,-0.288099400037817,0.0361606617707353,0.371071767291111,0.543868433232462
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-0.619950185232868,-0.449835707517853,-0.106429265305566,0.242815228105511,0.41047228258538
r_site:id[KUM_D211435,Intercept],0.95,0.8,median,-0.774226397761275,-0.611043202232918,-0.331900030522336,-0.0621730513747512,0.0942027478539294
r_site:id[KUM_D211438,Intercept],0.95,0.8,median,-0.219740549822935,-0.112840278130321,0.0953711473034373,0.316386830696153,0.426050586502464
r_site:id[KUM_D211450,Intercept],0.95,0.8,median,-0.422321442225077,-0.276392271313225,-0.0145757924396235,0.269975523193419,0.392504499782785
r_site:id[KUM_D211456,Intercept],0.95,0.8,median,-1.05857893894604,-0.909389544526573,-0.608034465505065,-0.312388688808741,-0.131850839385402
r_site:id[KUM_D211474,Intercept],0.95,0.8,median,-0.65761051470808,-0.551796652510708,-0.333668329221308,-0.121151579072838,-0.00525769826928617
r_site:id[KUM_D211478,Intercept],0.95,0.8,median,-0.247345186654406,-0.142061614186578,0.100262258752038,0.346461178393334,0.471044376585243
r_site:id[KUM_D211482,Intercept],0.95,0.8,median,-0.546328709740733,-0.400347437425234,-0.123233677303376,0.142532680530172,0.302927511238321
r_site:id[KUM_D217818,Intercept],0.95,0.8,median,-0.510567032709071,-0.364270525146399,-0.0957114773385266,0.170928775728131,0.323748469430444
r_site:id[KUM_D217896,Intercept],0.95,0.8,median,-0.643452965771876,-0.551236722849166,-0.342057482954893,-0.12904495914867,-0.0118685502605294
r_site:id[KUM_D217897,Intercept],0.95,0.8,median,0.14053875129155,0.264768229148419,0.499107953848691,0.739567064811844,0.862104582650358
r_site:id[KUM_D217932,Intercept],0.95,0.8,median,-0.149644726447852,0.0254232078028453,0.358143395936573,0.68920328615122,0.858571984129052
r_site:id[KUM_D217969,Intercept],0.95,0.8,median,0.2276915552186,0.353633920522161,0.623308170977754,0.894018725230176,1.03906129352967
r_site:id[KUM_D217977,Intercept],0.95,0.8,median,-0.55075158821524,-0.421237708398005,-0.167314857930743,0.0701466217514204,0.192360981750769
r_site:id[KUM_D229025,Intercept],0.95,0.8,median,-0.12625426912824,-0.00256741689308905,0.232460961076665,0.466074755366963,0.587221097143363
